data_classification,date,lot_id,product,equipment,recipe,yield_pct,defect_ppm,etch_rate_nm_min,chamber_pressure_mtorr,temperature_c
SYNTHETIC_DEMO,2026-07-01,SYN-L001,DEMO-A,ETCH-01,RCP-A,96.8,420,51.2,42.1,64.8
SYNTHETIC_DEMO,2026-07-02,SYN-L002,DEMO-A,ETCH-01,RCP-A,96.5,445,51.4,42.0,65.0
SYNTHETIC_DEMO,2026-07-03,SYN-L003,DEMO-A,ETCH-02,RCP-A,96.7,430,51.1,42.2,64.9
SYNTHETIC_DEMO,2026-07-04,SYN-L004,DEMO-B,ETCH-02,RCP-B,96.2,480,51.8,42.4,65.2
SYNTHETIC_DEMO,2026-07-05,SYN-L005,DEMO-A,ETCH-01,RCP-A,96.4,460,51.5,42.2,65.1
SYNTHETIC_DEMO,2026-07-06,SYN-L006,DEMO-B,ETCH-03,RCP-B,95.9,520,52.0,42.6,65.4
SYNTHETIC_DEMO,2026-07-07,SYN-L007,DEMO-A,ETCH-01,RCP-A,96.1,495,51.7,42.3,65.2
SYNTHETIC_DEMO,2026-07-08,SYN-L008,DEMO-B,ETCH-03,RCP-B,95.6,565,52.3,42.8,65.6
SYNTHETIC_DEMO,2026-07-09,SYN-L009,DEMO-A,ETCH-02,RCP-A,95.8,540,52.0,42.5,65.3
SYNTHETIC_DEMO,2026-07-10,SYN-L010,DEMO-B,ETCH-03,RCP-B,95.2,640,52.7,43.1,65.8
